Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
AlessioSakara,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43.0,"6' 0""",205 lbs,,,"72""",American Top Team,,,,,
AlexanderGustafsson,Light Heavyweight,,0,0,0,0,47.1,1001,19,1001,2125,0,,9,,,,,,,,,,,,,,,,,Active,,,38.0,"6' 5""",205 lbs,,,"79""",Allstars Training Center,,,,,
AlexanderHernandez,Lightweight,,0,0,0,0,44.8,834,13,834,1863,0,,4,,,,,,,,,,,,,,,,,Active,,,32.0,"5' 9""",156 lbs,,,"72""",Mile High Militia,,,,,
AlexanderMorgan,Bantamweight,,0,0,0,0,44.4,12,0,12,27,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 10""",144 lbs,,,"71""",TriStar Gym,,,,,
AlexanderMunoz,Lightweight,,0,0,0,0,45.0,245,12,245,544,0,,1,,,,,,,,,,,,,,,,,Active,,,35.0,"5' 9""",156 lbs,,,"72""",Team Alpha Male,,,,,
AlexanderPoppeck,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"6' 2""",205 lbs,,,,Munich MMA,,,,,
AlexanderSoldatkin,Heavyweight,,0,0,0,0,60.7,17,1,17,28,0,,0,,,,,,,,,,,,,,,,,Active,,,32.0,"6' 2""",246 lbs,,,"75""",Spitfire Gym,,,,,
AlexanderVolkanovski,Featherweight,,0,0,0,0,59.8,2035,31,2035,3402,0,,6,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 6""",145 lbs,,,"71.5""",City Kickboxing,,,,,
AlexanderVolkov,Heavyweight,,0,0,0,0,61.9,1461,10,1461,2360,0,,4,,,,,,,,,,,,,,,,,Active,,,36.0,"6' 7""",254 lbs,,,"80""",Strela Team,,,,,
AlexanderYakovlev,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40.0,"6' 3""",155 lbs,,,"74""",K Dojo,,,,,
AlexandraAlbu,Women's Strawweight,,0,0,0,0,51.1,241,6,241,472,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 2""",115 lbs,,,"63""",MMA-KEGI,,,,,
AlexandreBarros,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 9""",170 lbs,,,,,,,,,
AlexandreDantas,Heavyweight,,0,0,0,0,42.4,25,2,25,59,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AlexandreFerreira,Light Heavyweight,,0,0,0,0,69.2,9,0,9,13,0,,0,,,,,,,,,,,,,,,,,Active,,,46.0,"5' 7""",205 lbs,,,,Chute Boxe,,,,,
Alexandre FrancaNogueira,,,0,0,0,0,0.0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AlexandrePantoja,Flyweight,,0,0,0,0,54.6,1161,40,1161,2126,0,,4,,,,,,,,,,,,,,,,,Active,,,35.0,"5' 5""",125 lbs,,,"67.5""",American Top Team,,,,,
AlexandrRomanov,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"6' 2""",261 lbs,,,"75""",Lion Club,,,,,
AlexaGrasso,Women's Flyweight,,0,0,0,0,56.4,1640,6,1640,2910,0,,1,,,,,,,,,,,,,,,,,Active,,,31.0,"5' 5""",126 lbs,,,"66""",Lobo Gym MMA,,,,,
AlexiaThainara,Women's Strawweight,,0,0,0,0,43.0,128,4,128,298,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 4""",116 lbs,,,"67""",Ribas Family,,,,,
AlexisDavis,Women's Flyweight,,0,0,0,0,60.0,1450,12,1450,2417,0,,0,,,,,,,,,,,,,,,,,Active,,,40.0,"5' 6""",135 lbs,,,"68""",Combat Sports Academy,,,,,
AlexisDufresne,Women's Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 9""",145 lbs,,,"68.5""",Team Quest -Portland,,,,,
AlexAndrade,Light Heavyweight,,0,0,0,0,66.7,30,0,30,45,0,,1,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AlexCaceres,Featherweight,,0,0,0,0,53.8,1799,13,1799,3342,0,,5,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 10""",145 lbs,,,"73.5""",MMA LAB,,,,,
AlexChambers,Women's Strawweight,,0,0,0,0,62.8,214,7,214,341,0,,0,,,,,,,,,,,,,,,,,Active,,,46.0,"5' 3""",115 lbs,,,"63""",American Top Team,,,,,
Alexda Silva,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 8""",155 lbs,,,"73""",Astra Fight Team,,,,,
AlexEnlund,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,38.0,"5' 9""",145 lbs,,,,Nevt,,,,,
AlexGilpin,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 7""",145 lbs,,,,Chosen Few Gym,,,,,
AlexGorgees,Lightweight,,0,0,0,0,51.2,22,0,22,43,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"6' 2""",155 lbs,,,"74""",Australian Top Team,,,,,
AlexHunter,Heavyweight,,0,0,0,0,65.5,36,2,36,55,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AlexKaralexis,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,47.0,"5' 8""",155 lbs,,,"66""",Team Sityodtong,,,,,
AlexMorono,Welterweight,,0,0,0,0,44.0,1536,6,1536,3491,0,,4,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 11""",171 lbs,,,"72""",Fortis MMA,,,,,
AlexNicholson,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 4""",226 lbs,,,"81""",UFC Gym Winter Springs,,,,,
AlexOliveira,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 11""",170 lbs,,,"76""",ATS Team Tres Rios,,,,,
AlexPereira,Light Heavyweight,,0,0,0,0,67.4,864,1,864,1282,0,,7,,,,,,,,,,,,,,,,,Active,,,38.0,"6' 4""",205 lbs,,,"79""",Teixeira MMA & Fitness,,,,,
AlexPerez,Bantamweight,,0,0,0,0,54.5,557,12,557,1022,0,,4,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 6""",126 lbs,,,"65.5""",Team Oyama,,,,,
AlexReyes,Lightweight,,0,0,0,0,51.6,110,2,110,213,0,,0,,,,,,,,,,,,,,,,,Active,,,38.0,"5' 11""",156 lbs,,,"73""",Drysdale Jiu-Jitsu,,,,,
AlexSchoenauer,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"6' 3""",185 lbs,,,,,,,,,
AlexSerdyukov,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,45.0,"6' 2""",170 lbs,,,"74""",,,,,,
AlexSoto,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41.0,"5' 6""",135 lbs,,,"71""",Team Hurricane Awesome,,,,,
AlexTorres,Featherweight,,0,0,0,0,39.2,40,2,40,102,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 8""",135 lbs,,,"70""",,,,,,
AlexMorono,Welterweight,,0,0,0,0,44.0,1536,6,1536,3491,0,,4,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 11""",171 lbs,,,"72""",Fortis MMA,,,,,
AlfonsoAlcarez,Lightweight,,0,0,0,0,68.3,69,1,69,101,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AlfredKhashakyan,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 8""",135 lbs,,,"70""",Glendale Fighting Club,,,,,
AliaskhabKhizriev,Middleweight,,0,0,0,0,69.0,60,3,60,87,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 9""",186 lbs,,,"74""",Fight Club Scorpion,,,,,
AliceArdelean,Women's Strawweight,,0,0,0,0,46.3,342,3,342,738,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 3""",115 lbs,,,"62""",Fusion X-Cel,,,,,
AlicePereira,Women's Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,19.0,"5' 10""",135 lbs,,,,Life MMA,,,,,
AlikLorenz,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"6' 3""",205 lbs,,,"77""",Hard Drive MMA,,,,,
AlistairOvereem,Heavyweight,,0,0,0,0,77.9,942,10,942,1210,0,,10,,,,,,,,,,,,,,,,,Active,,,45.0,"6' 4""",255 lbs,,,"80""",Elevation Fight Team,,,,,
AliBagautinov,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40.0,"5' 4""",125 lbs,,,"66""",Fight Nights Team,,,,,
AljamainSterling,Featherweight,,0,0,0,0,61.6,1916,47,1916,3108,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"5' 7""",145 lbs,,,"71""",Serra-Longo Fight Team ,,,,,
AllanBegosso,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 5""",135 lbs,,,"66""",Team Alpha Male,,,,,
AllanGoes,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,54.0,"6' 0""",200 lbs,,,,,,,,,
AllanNascimento,Flyweight,,0,0,0,0,66.8,257,6,257,385,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 8""",127 lbs,,,"69""",Chute Boxe,,,,,
AllanZuniga,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 7""",155 lbs,,,"70""",Tigre MMA,,,,,
AllenBerube,Lightweight,,0,0,0,0,92.9,26,2,26,28,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
AllenCrowder,Heavyweight,,0,0,0,0,59.0,111,3,111,188,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 3""",255 lbs,,,"76.5""",Team Rubao Carioca BJJ,,,,,
AlonzoMenifield,Light Heavyweight,,0,0,0,0,59.3,746,5,746,1257,0,,5,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 0""",206 lbs,,,"76""",Fortis MMA,,,,,
AlptekinOzkilic,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,39.0,"5' 7""",125 lbs,,,"65""",St. Charles MMA,,,,,
AltonCunningham,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32.0,"6' 2""",205 lbs,,,"77""",Pura Vida BJJ,,,,,
