Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Birth_Date,Team,KO_TKO_Wins,Submission_Wins,Decision_Wins,Total_Control_Time,Total_Advancements,Total_Reversals,Total_Slams,Distance_Strikes,Clinch_Strikes,Ground_Strikes,Head_Strikes,Body_Strikes,Leg_Strikes,UFC_Debut_Date,Title_Fight_Record,Main_Event_Record,Fight_of_Night_Awards,Performance_of_Night_Awards
ShawnJordan,Heavyweight Division,nan-nan,Active,40.0,"6' 0""",255 lbs,"75.5""",,,Jackson-Wink MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,378,639,59.2,40.8,378.0,,,,,,9,0,0,0,135.0,0,0.0,3,45.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShawnTeed,Heavyweight Division,nan-nan,Active,33.0,"6' 5""",250 lbs,,,,Ricardo Almeida Jiu-Jitsu,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShayilanNuerdanbieke,Featherweight Division,nan-nan,Active,31.0,"5' 8""",145 lbs,"69""",,,China Top Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,303,523,57.9,42.1,303.0,,,,,,14,0,0,0,210.0,0,0.0,3,45.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaynaBaszler,Women's Bantamweight Division,nan-nan,Active,44.0,"5' 7""",135 lbs,"67.8""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheilaGaff,Women's Strawweight Division,nan-nan,Active,35.0,"5' 5""",135 lbs,"62""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheldonWestcott,Welterweight Division,nan-nan,Active,40.0,"6' 1""",170 lbs,"71""",,,Complete Martial Arts and Fitness,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,116,222,52.3,47.7,116.0,,,,,,6,0,0,0,90.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheltonGraves,Heavyweight Division,nan-nan,Active,39.0,"6' 2""",265 lbs,"76""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShermanPendergarst,nan Division,nan-nan,Active,,"6' 1""",235 lbs,,,,Team Tompkins,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,14,21,66.7,33.3,14.0,,,,,,1,0,0,0,15.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SherrardBlackledge,Lightweight Division,nan-nan,Active,31.0,"5' 11""",155 lbs,"75""",,,Syndicate MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,226,361,62.6,37.4,226.0,,,,,,8,0,0,0,120.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheymonMoraes,Featherweight Division,nan-nan,Active,34.0,"5' 8""",145 lbs,"72""",,,Black House MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
