Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Alex Soto,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41,"5' 6""",135 lbs,,,"71""",Team Hurricane Awesome,,,,,
Alex Torres,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"5' 8""",135 lbs,,,"70""",,,,,,
Alex White,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"5' 11""",171 lbs,,,"72""",Fortis MMA,,,,,
Alfonso Alcarez,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Alfred Khashakyan,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36,"5' 8""",135 lbs,,,"70""",Glendale Fighting Club,,,,,
Aliaskhab Khizriev,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"5' 9""",186 lbs,,,"74""",Fight Club Scorpion,,,,,
Alice Ardelean,Women's Strawweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 3""",115 lbs,,,"62""",Fusion X-Cel,,,,,
Alice Pereira,Women's Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,19,"5' 10""",135 lbs,,,,Life MMA,,,,,
Alik Lorenz,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28,"6' 3""",205 lbs,,,"77""",Hard Drive MMA,,,,,
Alistair Overeem,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,45,"6' 4""",255 lbs,,,"80""",Elevation Fight Team,,,,,
Ali Bagautinov,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40,"5' 4""",125 lbs,,,"66""",Fight Nights Team,,,,,
Aljamain Sterling,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"5' 7""",145 lbs,,,"71""",Serra-Longo Fight Team ,,,,,
Allan Begosso,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29,"5' 5""",135 lbs,,,"66""",Team Alpha Male,,,,,
Allan Goes,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,54,"6' 0""",200 lbs,,,,,,,,,
Allan Nascimento,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 8""",127 lbs,,,"69""",Chute Boxe,,,,,
Allan Zuniga,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 7""",155 lbs,,,"70""",Tigre MMA,,,,,
Allen Berube,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Allen Crowder,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"6' 3""",255 lbs,,,"76.5""",Team Rubao Carioca BJJ,,,,,
Alonzo Menifield,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"6' 0""",206 lbs,,,"76""",Fortis MMA,,,,,
Alptekin Ozkilic,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,39,"5' 7""",125 lbs,,,"65""",St. Charles MMA,,,,,
Alton Cunningham,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32,"6' 2""",205 lbs,,,"77""",Pura Vida BJJ,,,,,
Alton Meeks,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,31,"6' 3""",262 lbs,,,"75.5""",Fusion X-Cel,,,,,
Alvaro Herrera,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"6' 0""",155 lbs,,,"74""",Lobo Gym MMA,,,,,
Alvin Hines,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"6' 2""",265 lbs,,,"74""",,,,,,
Alvin Robinson,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42,"5' 9""",145 lbs,,,"68""",,,,,,
Al Iaquinta,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,38,"5' 10""",156 lbs,,,"70""",Serra-Longo Fight Team ,,,,,
