Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion,Division_Title,Division_Record,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Takedown_Avg_Per_15_Min,Submission_Avg_Per_15_Min,Sig_Str_Defense,Takedown_Defense,Knockdown_Avg,Average_Fight_Time,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct,Fight_Win_Streak,Title_Defenses,Former_Champion,Octagon_Debut,Fighting_Style
AlanJouban,Welterweight,,0,0,0,0,52.2,719,4,719,1377,0,,9,,,,,,,,,,,,,,,,,Active,,,43.0,"6' 0""",170 lbs,,,"73.5""",Black House,,,,,,Welterweight Division,nan-nan,719.0,,60.0,0.0,47.8,0,135.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlanOmer,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 9""",155 lbs,,,"71""",,,,,,,Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlanPatrick,Lightweight,,0,0,0,0,55.8,455,23,455,816,0,,1,,,,,,,,,,,,,,,,,Active,,,41.0,"5' 11""",156 lbs,,,"74""",Chute Boxe,,,,,,Lightweight Division,nan-nan,455.0,,345.0,0.0,44.2,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
Alatengheili,Bantamweight,,0,0,0,0,39.3,494,14,494,1257,0,,1,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 5""",136 lbs,,,"66""",Fight Ready,,,,,,Bantamweight Division,nan-nan,494.0,,210.0,0.0,60.7,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
Alberta CerraLeon,Open Weight,,0,0,0,0,81.8,9,0,9,11,0,,0,,,,,,,,,,,,,,,,,Active,,,,,238 lbs,,,,,,,,,,Open Weight Division,nan-nan,9.0,,0.0,0.0,18.2,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlbertoCrane,,,0,0,0,0,50.0,26,0,26,52,0,,1,,,,,,,,,,,,,,,,,Active,,,48.0,"5' 5""",155 lbs,,,,,,,,,,nan Division,nan-nan,26.0,,0.0,0.0,50.0,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlbertoMina,Welterweight,,0,0,0,0,42.7,165,5,165,386,0,,3,,,,,,,,,,,,,,,,,Active,,,43.0,"6' 0""",170 lbs,,,"77.5""",Epic MMA,,,,,,Welterweight Division,nan-nan,165.0,,75.0,0.0,57.3,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlbertoMontes,Featherweight,,0,0,0,0,65.5,38,0,38,58,0,,0,,,,,,,,,,,,,,,,,Active,,,31.0,"5' 7""",145 lbs,,,"69""",The Goat Shed,,,,,,Featherweight Division,nan-nan,38.0,,0.0,0.0,34.5,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
Alberto EmilianoPereira,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40.0,"6' 3""",185 lbs,,,,,,,,,,nan Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlbertCheng,Welterweight,,0,0,0,0,41.7,5,0,5,12,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 11""",170 lbs,,,,,,,,,,Welterweight Division,nan-nan,5.0,,0.0,0.0,58.3,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlbertDuraev,Middleweight,,0,0,0,0,53.8,350,7,350,650,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 11""",186 lbs,,,"75""",Xtreme Couture,,,,,,Middleweight Division,nan-nan,350.0,,105.0,0.0,46.2,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlbertMorales,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 9""",135 lbs,,,"72""",Systems Training Center,,,,,,Bantamweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
