Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Acacio dos Santos,Light Heavyweight,15-6-0,7,0,0,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Orthodox,33,"6' 4""",201 lbs,,,"79""",Power Lotus Team,,,,,
Achilles Estremadura,Lightweight,8-1-0,4,0,0,8,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Canada,Orthodox,33,"5' 10""",156 lbs,,,"68""",Axe Capoeira Vancouver,,,,,
Adam Antolin,Flyweight,13-5-0,3,8,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,43,"5' 5""",125 lbs,,,"63""",AKA (American Kickboxing Academy),,,,,
Adam Cella,Welterweight,6-6-0,3,3,0,6,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,--,40,"6' 2""",170 lbs,,,"78""",Finney's HIT Squad,,,,,
Adam Fugitt,Welterweight,10-5-0,5,3,0,10,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Southpaw,36,"6' 1""",171 lbs,,,"77""",Fight Ready,,,,,
Adam Hunter,Middleweight,7-2-0,6,1,0,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Canada,Orthodox,41,"6' 1""",185 lbs,,,"73""",Synergy Fight Team,,,,,
Adam Khaliev,Welterweight,7-0-0,2,2,0,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,41,"5' 10""",170 lbs,,,,,,,,,
Adam Milstead,Light Heavyweight,8-3-0,6,2,0,8,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,37,"6' 3""",205 lbs,,,"76""",Pittsburgh Fight Club,,,,,
Adam Wieczorek,Heavyweight,10-2-0,3,6,0,10,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Poland,Orthodox,33,"6' 5""",250 lbs,,,"81""",AKS Chorzow,,,,,
Adam Yandiev,Middleweight,9-1-0,3,6,0,9,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Russia,Orthodox,36,"5' 9""",185 lbs,,,"74""",Fight or Die,,,,,
Adlan Amagov,Welterweight,13-2-1,8,0,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,40,"6' 2""",170 lbs,,,"76""",Jackson-Wink MMA,,,,,
Adli Edwards,Featherweight,9-3-0,2,3,0,9,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,--,35,"5' 10""",145 lbs,,,"72""",,,,,,
